公开(公告)号,标题,申请日,公开(公告)日,当前申请(专利权)人,发明人,法律状态/事件
CN111307394B,一种多级动力可控回流式风洞,2020-03-09,2021-08-24,西南交通大学,张血琴 | 张广全 | 郭裕钧 | 吴广宁 | 高国强 | 刘凯 | 李春茂,授权
CN110471119A,基于航空电磁法铁路隧道三维选线方法,2019-07-10,2019-11-19,中铁二院工程集团有限责任公司,徐正宣 | 张广泽 | 林之恒 | 冯涛 | 宋章 | 王哲威 | 欧阳吉 | 伊小娟 | 曹云勇 | 尹小康 | 刘建国 | 王彦东 | 周学军 | 孟少伟 | 刘志军 | 谢荣强 | 袁东,授权
CN110471119B,基于航空电磁法铁路隧道三维选线方法,2019-07-10,2021-07-09,中铁二院工程集团有限责任公司,徐正宣 | 张广泽 | 林之恒 | 冯涛 | 宋章 | 王哲威 | 欧阳吉 | 伊小娟 | 曹云勇 | 尹小康 | 刘建国 | 王彦东 | 周学军 | 孟少伟 | 刘志军 | 谢荣强 | 袁东,授权
CN110295626A,给排水管道的防冻装置及其施工方法,2019-07-15,2019-10-01,中铁二院工程集团有限责任公司,赵子成 | 黄立群 | 于洋 | 林宏 | 赵青海 | 葛根荣 | 李晓园 | 曾庆华,授权
CN110295626B,给排水管道的防冻装置及其施工方法,2019-07-15,2021-05-18,中铁二院工程集团有限责任公司,赵子成 | 黄立群 | 于洋 | 林宏 | 赵青海 | 葛根荣 | 李晓园 | 曾庆华,授权
CN110242340A,一种纵深隧道富氧气体循环系统,2019-07-16,2019-09-17,杭州创威实业股份有限公司,楼百根 | 孙莉 | 钱晶 | 斯航军,实质审查 | 一案双申
CN112299778A,一种高原铁路混凝土的组成及制备方法,2020-09-29,2021-02-02,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司 | 中国国家铁路集团有限公司 | 北京铁锋建筑工程技术有限公司,李康 | 王希 | 胡建伟 | 谢永江 | 冯仲伟 | 李林香 | 谭盐宾 | 程冠之 | 刘竞 | 李书明 | 董全霄 | 刘子科 | 王月华 | 王振 | 杨鲁 | 葛昕 | 饶云兵 | 谢亮 | 胡凡 | 齐婧 | 刘婷婷 | 何庆,公开
CN210031461U,一种无塔悬索桥结构体系,2019-05-06,2020-02-07,中铁第一勘察设计院集团有限公司,房帅平 | 康炜 | 吴文华 | 乔雷涛 | 方桂芬 | 冯亚成 | 周友权 | 文强 | 张蕾 | 张鹏举 | 卢皓,授权
CN110789575A,适用于高原稀疏铁路的列车运行控制系统,2019-11-13,2020-02-14,交控科技股份有限公司,孙军国 | 黄鼎慧,驳回
CN114133161A,一种低气压环境用引气材料和提高砂浆或混凝土抗冻性能的方法,2021-12-09,2022-03-04,西南交通大学,李茂红 | 王平 | 袁远 | 李固华 | 李福海 | 周杏芝,实质审查
